MapDate,AreaOfInterest,None,D4,Year
20040831,CONUS,59.79,1.21,2004
20040824,CONUS,58.36,1.23,2004
20040817,CONUS,56.21,1.26,2004
20040810,CONUS,54.03,1.26,2004
20040803,CONUS,53.81,1.38,2004
20040727,CONUS,55.17,1.38,2004
20040720,CONUS,52.47,1.43,2004
20040713,CONUS,53.65,1.2,2004
20040706,CONUS,54.46,1.2,2004
20040629,CONUS,54.25,1.22,2004
20040622,CONUS,53.26,1.22,2004
20040615,CONUS,50.44,1.28,2004
20040608,CONUS,47.21,0.58,2004
20040601,CONUS,44.3,0.81,2004
20040525,CONUS,42.32,0.81,2004
20040518,CONUS,46.4,1.11,2004
20040511,CONUS,45.17,1.09,2004
20040504,CONUS,45.83,1.08,2004
20040427,CONUS,44.31,0.83,2004
20040420,CONUS,42.05,0.83,2004
20040413,CONUS,44.46,0.81,2004
20040406,CONUS,45.79,0.64,2004
20040330,CONUS,46.49,1.93,2004
20040323,CONUS,47.39,1.93,2004
20040316,CONUS,51.18,1.93,2004
20040309,CONUS,50.62,1.93,2004
20040302,CONUS,48.6,2.08,2004
20040224,CONUS,47.72,2.83,2004
20040217,CONUS,46.59,2.83,2004
20040210,CONUS,46.55,2.83,2004
20040203,CONUS,45.58,2.97,2004
20040127,CONUS,45.58,3.01,2004
20040120,CONUS,44.9,2.89,2004
20040113,CONUS,42.44,3.15,2004
20040106,CONUS,42.23,3.71,2004
20031230,CONUS,43.83,3.4,2003
20031223,CONUS,42.54,3.72,2003
20031216,CONUS,43.42,3.37,2003
20031209,CONUS,41.41,3.3,2003
20031202,CONUS,42.04,3.35,2003
20031125,CONUS,41.22,3.29,2003
20031118,CONUS,39.85,3.18,2003
20031111,CONUS,38.41,3.34,2003
20031104,CONUS,38.42,2.6,2003
20031028,CONUS,37.13,2.54,2003
20031021,CONUS,38.9,2.04,2003
20031014,CONUS,40.07,2.04,2003
20031007,CONUS,41.01,2.07,2003
20030930,CONUS,38.58,2.09,2003
20030923,CONUS,37.15,2.07,2003
20030916,CONUS,37.62,2.19,2003
20030909,CONUS,35.35,2.21,2003
20030902,CONUS,35.76,1.93,2003
20030826,CONUS,33,2.2,2003
20030819,CONUS,35.23,2.12,2003
20030812,CONUS,41.14,1.95,2003
20030805,CONUS,42.78,1.98,2003
20030729,CONUS,44.96,2.15,2003
20030722,CONUS,46.14,1.66,2003
20030715,CONUS,46.28,0.81,2003
20030708,CONUS,53.26,0.81,2003
20030701,CONUS,51.8,0.76,2003
20030624,CONUS,48.67,0.88,2003
20030617,CONUS,48.62,1,2003
20030610,CONUS,46.64,1.02,2003
20030603,CONUS,45.49,0.61,2003
20030527,CONUS,46.92,0.6,2003
20030520,CONUS,45.98,0.6,2003
20030513,CONUS,43.78,0.62,2003
20030506,CONUS,38.67,0.26,2003
20030429,CONUS,34.63,0.26,2003
20030422,CONUS,40.81,0.26,2003
20030415,CONUS,38.8,0.23,2003
20030408,CONUS,41.99,0.26,2003
20030401,CONUS,41.12,0.58,2003
20030325,CONUS,40.82,1.22,2003
20030318,CONUS,39.34,1.69,2003
20030311,CONUS,36.71,1.69,2003
20030304,CONUS,38.82,2,2003
20030225,CONUS,39.15,2.08,2003
20030218,CONUS,38.15,2.09,2003
20030211,CONUS,36.52,2.32,2003
20030204,CONUS,37.95,2.25,2003
20030128,CONUS,38.9,2.5,2003
20030121,CONUS,40,2.36,2003
20030114,CONUS,42.22,2.58,2003
20030107,CONUS,42.39,1.69,2003
20021231,CONUS,44.96,1.28,2002
20021224,CONUS,43.42,1.28,2002
20021217,CONUS,42.28,1.28,2002
20021210,CONUS,38.63,1.26,2002
20021203,CONUS,41.05,1.09,2002
20021126,CONUS,41.38,1.11,2002
20021119,CONUS,41.06,1.15,2002
20021112,CONUS,40.86,1.12,2002
20021105,CONUS,39.15,1.33,2002
20021029,CONUS,39.03,1.35,2002
20021022,CONUS,35.32,1.34,2002
20021015,CONUS,32.3,1.34,2002
20021008,CONUS,28.77,2.09,2002
20021001,CONUS,29.08,3.14,2002
20020924,CONUS,31.9,3.29,2002
20020917,CONUS,28.58,3.88,2002
20020910,CONUS,28.94,5,2002
20020903,CONUS,32.08,6.23,2002
20020827,CONUS,36.68,7.41,2002
20020820,CONUS,35.1,7.85,2002
20020813,CONUS,31.46,7.45,2002
20020806,CONUS,31.51,6.98,2002
20020730,CONUS,28.68,6.11,2002
20020723,CONUS,28.15,5.99,2002
20020716,CONUS,34.32,5.52,2002
20020709,CONUS,36.16,5.51,2002
20020702,CONUS,36.88,5.29,2002
20020625,CONUS,37.74,3.5,2002
20020618,CONUS,38.87,2.48,2002
20020611,CONUS,37.84,2.07,2002
20020604,CONUS,37.2,2.7,2002
20020528,CONUS,37.91,2.73,2002
20020521,CONUS,40.43,0.61,2002
20020514,CONUS,38.56,0.65,2002
20020507,CONUS,36.39,0.61,2002
20020430,CONUS,38.73,0.28,2002
20020423,CONUS,38.53,0,2002
20020416,CONUS,39.5,0,2002
20020409,CONUS,37.01,0,2002
20020402,CONUS,35.89,0,2002
20020326,CONUS,34.39,0,2002
20020319,CONUS,34.52,0,2002
20020312,CONUS,32.84,0,2002
20020305,CONUS,36.4,0,2002
20020226,CONUS,36.12,0,2002
20020219,CONUS,39.32,0,2002
20020212,CONUS,41.34,0,2002
20020205,CONUS,42.35,0,2002
20020129,CONUS,42.72,0,2002
20020122,CONUS,43.57,0,2002
20020115,CONUS,43.72,0,2002
20020108,CONUS,45.55,0,2002
20020101,CONUS,46.54,0,2002
20011225,CONUS,46.66,0,2001
20011218,CONUS,46.77,0,2001
20011211,CONUS,45.65,0,2001
20011204,CONUS,44.08,0,2001
20011127,CONUS,43.63,0,2001
20011120,CONUS,39.01,0,2001
20011113,CONUS,38.78,0,2001
20011106,CONUS,42.08,0,2001
20011030,CONUS,44.63,0,2001
20011023,CONUS,48.06,0,2001
20011016,CONUS,53.81,0,2001
20011009,CONUS,52.59,0,2001
20011002,CONUS,55.88,0,2001
20010925,CONUS,56.31,0,2001
20010918,CONUS,51.65,0,2001
20010911,CONUS,49.19,0,2001
20010904,CONUS,49.77,0,2001
20010828,CONUS,52.54,0,2001
20010821,CONUS,54.08,0,2001
20010814,CONUS,51.19,0,2001
20010807,CONUS,48.63,0,2001
20010731,CONUS,47.31,0,2001
20010724,CONUS,47.18,0,2001
20010717,CONUS,51.02,0,2001
20010710,CONUS,57.32,0,2001
20010703,CONUS,52.98,0,2001
20010626,CONUS,54.68,0,2001
20010619,CONUS,57.18,0,2001
20010612,CONUS,62.25,0.1,2001
20010605,CONUS,60.31,0.4,2001
20010529,CONUS,55.13,0.49,2001
20010522,CONUS,53.75,0.49,2001
20010515,CONUS,51.44,0.46,2001
20010508,CONUS,52.51,0.27,2001
20010501,CONUS,63.07,0.27,2001
20010424,CONUS,64.79,0.27,2001
20010417,CONUS,64.94,0.27,2001
20010410,CONUS,64.48,0.21,2001
20010403,CONUS,61.84,0.18,2001
20010327,CONUS,62.42,0.64,2001
20010320,CONUS,65.95,0.69,2001
20010313,CONUS,66.03,0.71,2001
20010306,CONUS,66.74,0.71,2001
20010227,CONUS,65.21,0.73,2001
20010220,CONUS,65.55,0.64,2001
20010213,CONUS,62.79,0.61,2001
20010206,CONUS,61.43,0.34,2001
20010130,CONUS,61.14,0.35,2001
20010123,CONUS,56.57,0.35,2001
20010116,CONUS,69.98,0.33,2001
20010109,CONUS,68.35,0.33,2001
20010102,CONUS,70.82,0.33,2001
20001226,CONUS,72.25,0.36,2000
20001219,CONUS,70.65,0.3,2000
20001212,CONUS,66.84,0.25,2000
20001205,CONUS,66.14,0.14,2000
20001128,CONUS,64.43,0,2000
20001121,CONUS,64.23,0,2000
20001114,CONUS,63.11,0.72,2000
20001107,CONUS,54.68,0.99,2000
20001031,CONUS,40.25,2.63,2000
20001024,CONUS,35.77,1.69,2000
20001017,CONUS,40.2,1.05,2000
20001010,CONUS,40.52,0.46,2000
20001003,CONUS,39.53,0.74,2000
20000926,CONUS,42.19,0.74,2000
20000919,CONUS,41.62,1.64,2000
20000912,CONUS,43.73,1.71,2000
20000905,CONUS,42.77,2.61,2000
20000829,CONUS,43.72,2.47,2000
20000822,CONUS,49.9,2.39,2000
20000815,CONUS,48.37,1.99,2000
20000808,CONUS,48.87,2.14,2000
20000801,CONUS,50.33,2.41,2000
20000725,CONUS,50.13,2.59,2000
20000718,CONUS,50.54,2.12,2000
20000711,CONUS,56.43,1.65,2000
20000704,CONUS,57.49,1.26,2000
20000627,CONUS,55.16,1.66,2000
20000620,CONUS,57.44,1.64,2000
20000613,CONUS,55.96,1.54,2000
20000606,CONUS,62.66,0.3,2000
20000530,CONUS,62.05,0.26,2000
20000523,CONUS,57.84,0,2000
20000516,CONUS,52.57,0,2000
20000509,CONUS,55.75,0,2000
20000502,CONUS,55.43,0,2000
20000425,CONUS,56.15,0,2000
20000418,CONUS,53.06,0,2000
20000411,CONUS,54.87,0,2000
20000404,CONUS,51.49,0,2000
20000328,CONUS,54.69,0,2000
20000321,CONUS,52.02,0,2000
20000314,CONUS,51.59,0,2000
20000307,CONUS,45.92,0,2000
20000229,CONUS,45.46,0,2000
20000222,CONUS,43.35,0,2000
20000215,CONUS,36.85,0,2000
20000208,CONUS,36.07,0,2000
20000201,CONUS,34.99,0,2000
20000125,CONUS,30.74,0,2000
20000118,CONUS,32.2,0,2000
20000111,CONUS,38.2,0,2000
20000104,CONUS,49,0,2000
