YEAR,EVENT_TYPE,TOR_F_SCALE
2009,Heavy Snow,
2009,Heavy Snow,
2009,Winter Storm,
2009,Winter Storm,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Strong Wind,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Drought,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Drought,
2009,Drought,
2009,Drought,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Extreme Cold/Wind Chill,
2009,Extreme Cold/Wind Chill,
2009,Drought,
2009,Drought,
2009,Extreme Cold/Wind Chill,
2009,Extreme Cold/Wind Chill,
2009,Extreme Cold/Wind Chill,
2009,Extreme Cold/Wind Chill,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Winter Storm,
2009,Heavy Snow,
2009,Blizzard,
2009,Winter Weather,
2009,Winter Weather,
2009,Winter Weather,
2009,Blizzard,
2009,Blizzard,
2009,Winter Weather,
2009,Winter Weather,
2009,Winter Weather,
2009,Blizzard,
2009,Blizzard,
2009,Blizzard,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Frost/Freeze,
2009,Blizzard,
2009,Blizzard,
2009,Blizzard,
2009,Blizzard,
2009,Ice Storm,
2009,Ice Storm,
2009,Winter Weather,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Frost/Freeze,
2009,Blizzard,
2009,Blizzard,
2009,Blizzard,
2009,Heavy Snow,
2009,Blizzard,
2009,Blizzard,
2009,Frost/Freeze,
2009,Blizzard,
2009,Blizzard,
2009,Blizzard,
2009,Blizzard,
2009,Heavy Rain,
2009,Frost/Freeze,
2009,Blizzard,
2009,Blizzard,
2009,Heavy Rain,
2009,Blizzard,
2009,Heavy Snow,
2009,Hail,
2009,High Wind,
2009,Strong Wind,
2009,Strong Wind,
2009,Strong Wind,
2009,High Wind,
2009,High Wind,
2009,Flash Flood,
2009,Flash Flood,
2009,Flash Flood,
2009,Flash Flood,
2009,Flash Flood,
2009,Winter Weather,
2009,Winter Storm,
2009,Winter Weather,
2009,Winter Weather,
2009,Winter Weather,
2009,Thunderstorm Wind,
2009,Marine Thunderstorm Wind,
2009,Marine Thunderstorm Wind,
2009,Flash Flood,
2009,Heavy Rain,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Marine Thunderstorm Wind,
2009,Marine Thunderstorm Wind,
2009,Marine Thunderstorm Wind,
2009,Marine Thunderstorm Wind,
2009,Waterspout,
2009,Waterspout,
2009,Waterspout,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Winter Storm,
2009,Winter Storm,
2009,Winter Weather,
2009,Hail,
2009,Thunderstorm Wind,
2009,Hail,
2009,Hail,
2009,Hail,
2009,Thunderstorm Wind,
2009,High Surf,
2009,High Surf,
2009,High Surf,
2009,High Surf,
2009,High Surf,
2009,High Surf,
2009,High Surf,
2009,High Surf,
2009,Winter Storm,
2009,Heavy Snow,
2009,Thunderstorm Wind,
2009,Thunderstorm Wind,
2009,Thunderstorm Wind,
2009,Thunderstorm Wind,
2009,Hail,
2009,High Wind,
2009,High Surf,
2009,High Surf,
2009,High Surf,
2009,Drought,
2009,Drought,
2009,Drought,
2009,Drought,
2009,Drought,
2009,Lightning,
2009,Thunderstorm Wind,
2009,Hail,
2009,Hail,
2009,Hail,
2009,Hail,
2009,Thunderstorm Wind,
2009,Winter Weather,
2009,High Wind,
2009,High Wind,
2009,Flood,
2009,Flood,
2009,High Wind,
2009,Lake-Effect Snow,
2009,Thunderstorm Wind,
2009,Thunderstorm Wind,
2009,Hail,
2009,Hail,
2009,Storm Surge/Tide,
2009,Heavy Snow,
2009,Heavy Snow,
2009,Heavy Snow,
