YEAR,EVENT_TYPE,TOR_F_SCALE
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,High Wind,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Winter Storm,
2004,Heavy Snow,
2004,Winter Storm,
2004,Thunderstorm Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Ice Storm,
2004,High Wind,
2004,High Wind,
2004,Thunderstorm Wind,
2004,Tornado,F0
2004,Lightning,
2004,Heavy Rain,
2004,Flash Flood,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Heavy Snow,
2004,Flash Flood,
2004,Thunderstorm Wind,
2004,Flash Flood,
2004,Flash Flood,
2004,Flash Flood,
2004,Flash Flood,
2004,Flash Flood,
2004,Flash Flood,
2004,Winter Storm,
2004,Flash Flood,
2004,Hail,
2004,Heavy Snow,
2004,High Wind,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Winter Storm,
2004,Strong Wind,
2004,Hail,
2004,Heavy Rain,
2004,Winter Storm,
2004,Winter Storm,
2004,Flash Flood,
2004,Ice Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Winter Storm,
2004,Strong Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,High Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,High Surf,
2004,Heavy Rain,
2004,Heavy Snow,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,Flood,
2004,Flood,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Tropical Storm,
2004,Tropical Storm,
2004,Tropical Storm,
2004,Tropical Storm,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Flash Flood,
2004,Hail,
2004,Hail,
2004,Hail,
2004,Hail,
2004,Winter Storm,
2004,Hail,
2004,Winter Storm,
2004,Winter Storm,
2004,Flash Flood,
2004,Tornado,F0
2004,High Surf,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,Flash Flood,
2004,Ice Storm,
2004,Winter Weather,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,Storm Surge/Tide,
2004,Heavy Rain,
2004,Flash Flood,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Strong Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Blizzard,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Winter Weather,
2004,High Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Heavy Snow,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,High Wind,
2004,High Wind,
2004,Blizzard,
2004,Hurricane (Typhoon),
2004,Hurricane (Typhoon),
2004,Hurricane (Typhoon),
2004,Flash Flood,
2004,Flash Flood,
2004,High Surf,
2004,Frost/Freeze,
2004,Flash Flood,
2004,Heavy Rain,
2004,Flash Flood,
2004,High Wind,
2004,High Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Heavy Snow,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Dense Fog,
2004,Dense Fog,
2004,Dense Fog,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,Ice Storm,
2004,High Wind,
2004,High Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,High Wind,
2004,High Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Heavy Rain,
2004,High Wind,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Weather,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,Winter Storm,
2004,Dense Fog,
2004,Strong Wind,
2004,Tornado,F0
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Flash Flood,
2004,High Wind,
2004,High Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Weather,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Dense Fog,
2004,Dense Fog,
2004,Dense Fog,
2004,Dense Fog,
2004,Dense Fog,
2004,Dense Fog,
2004,Heavy Snow,
2004,Strong Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,High Wind,
2004,High Wind,
2004,Winter Storm,
2004,High Wind,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Tropical Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Hurricane (Typhoon),
2004,Heavy Snow,
2004,Flash Flood,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Ice Storm,
2004,Heavy Rain,
2004,Lightning,
2004,Hail,
2004,Heavy Rain,
2004,Thunderstorm Wind,
2004,Winter Weather,
2004,Flash Flood,
2004,Flash Flood,
2004,Flash Flood,
2004,Winter Storm,
2004,High Surf,
2004,High Wind,
2004,High Wind,
2004,Cold/Wind Chill,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Flash Flood,
2004,Hail,
2004,Flash Flood,
2004,Flash Flood,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,High Wind,
2004,High Wind,
2004,Marine Thunderstorm Wind,
2004,Waterspout,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,High Wind,
2004,Strong Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Ice Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,High Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Blizzard,
2004,High Wind,
2004,Blizzard,
2004,High Surf,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,High Wind,
2004,Flash Flood,
2004,Winter Weather,
2004,Tropical Storm,
2004,Tropical Storm,
2004,Tropical Storm,
2004,Tropical Storm,
2004,Tornado,F0
2004,Heavy Snow,
2004,Winter Storm,
2004,Hail,
2004,Hail,
2004,Hail,
2004,Hail,
2004,Strong Wind,
2004,Heavy Rain,
2004,Winter Storm,
2004,Hail,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Blizzard,
2004,Avalanche,
2004,Avalanche,
2004,Winter Storm,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Strong Wind,
2004,Winter Storm,
2004,Strong Wind,
2004,Strong Wind,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Blizzard,
2004,Flood,
2004,Flood,
2004,High Wind,
2004,Blizzard,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Dense Fog,
2004,Dense Fog,
2004,Flood,
2004,Heavy Snow,
2004,Winter Storm,
2004,Ice Storm,
2004,Heavy Snow,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Thunderstorm Wind,
2004,Flash Flood,
2004,Flash Flood,
2004,Flash Flood,
2004,Flash Flood,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,High Wind,
2004,Heavy Snow,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Blizzard,
2004,Marine Thunderstorm Wind,
2004,Hail,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Flood,
2004,Hail,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Flash Flood,
2004,Winter Storm,
2004,Tropical Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Dense Fog,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Thunderstorm Wind,
2004,High Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,Ice Storm,
2004,Winter Weather,
2004,Hurricane (Typhoon),
2004,Hurricane (Typhoon),
2004,Hurricane (Typhoon),
2004,High Wind,
2004,Blizzard,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,Tropical Storm,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Storm Surge/Tide,
2004,Strong Wind,
2004,Flash Flood,
2004,Winter Weather,
2004,Flash Flood,
2004,Winter Storm,
2004,Strong Wind,
2004,Storm Surge/Tide,
2004,Flood,
2004,Heavy Snow,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Thunderstorm Wind,
2004,Tropical Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Strong Wind,
2004,Strong Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,High Wind,
2004,High Wind,
2004,Heavy Snow,
2004,Winter Storm,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Thunderstorm Wind,
2004,Flash Flood,
2004,Flash Flood,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Rain,
2004,Winter Storm,
2004,Strong Wind,
2004,High Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Storm Surge/Tide,
2004,High Wind,
2004,High Wind,
2004,Storm Surge/Tide,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,Flash Flood,
2004,Winter Storm,
2004,Flood,
2004,Flood,
2004,High Wind,
2004,Marine Thunderstorm Wind,
2004,High Wind,
2004,High Surf,
2004,Winter Storm,
2004,High Surf,
2004,High Surf,
2004,Winter Weather,
2004,Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Heavy Snow,
2004,Winter Weather,
2004,Heavy Snow,
2004,Thunderstorm Wind,
2004,Marine Thunderstorm Wind,
2004,Marine Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Marine Thunderstorm Wind,
2004,Marine Thunderstorm Wind,
2004,Marine Thunderstorm Wind,
2004,Marine Thunderstorm Wind,
2004,Heavy Snow,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Rain,
2004,Heavy Rain,
2004,Heavy Snow,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Heavy Snow,
2004,Hail,
2004,Hail,
2004,Hail,
2004,Hail,
2004,Strong Wind,
2004,High Wind,
2004,Heavy Snow,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Winter Storm,
2004,Winter Storm,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Winter Weather,
2004,Flood,
2004,Flood,
2004,Ice Storm,
2004,Ice Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,High Wind,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,High Surf,
2004,High Surf,
2004,Winter Storm,
2004,Flash Flood,
2004,Hail,
2004,Hail,
2004,Flash Flood,
2004,Flash Flood,
2004,Hail,
2004,Hail,
2004,Hail,
2004,High Surf,
2004,High Wind,
2004,High Wind,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,Winter Storm,
2004,Blizzard,
2004,Ice Storm,
2004,High Surf,
2004,Blizzard,
2004,High Wind,
2004,Cold/Wind Chill,
2004,Ice Storm,
2004,Winter Storm,
2004,Blizzard,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Cold/Wind Chill,
2004,Blizzard,
2004,Winter Storm,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Blizzard,
2004,Frost/Freeze,
2004,Frost/Freeze,
2004,Dense Fog,
2004,Dense Fog,
2004,Dense Fog,
2004,Dense Fog,
2004,High Surf,
2004,Winter Weather,
2004,High Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Flood,
2004,Flood,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Flood,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Storm,
2004,Heavy Snow,
2004,Winter Storm,
2004,High Wind,
2004,Blizzard,
2004,Blizzard,
2004,Winter Storm,
2004,High Wind,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,Heavy Rain,
2004,Heavy Rain,
2004,Funnel Cloud,
2004,High Wind,
2004,Ice Storm,
2004,Winter Storm,
2004,Ice Storm,
2004,Winter Storm,
2004,Cold/Wind Chill,
2004,Ice Storm,
2004,Ice Storm,
2004,Ice Storm,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,High Wind,
2004,High Wind,
2004,Blizzard,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,High Wind,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Winter Weather,
2004,Frost/Freeze,
2004,Frost/Freeze,
2004,High Wind,
2004,Marine Thunderstorm Wind,
2004,Thunderstorm Wind,
2004,Tornado,F0
2004,Cold/Wind Chill,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Winter Storm,
2004,Winter Storm,
2004,Flood,
2004,High Surf,
2004,Heavy Snow,
2004,Heavy Snow,
2004,High Wind,
2004,High Wind,
2004,Flood,
2004,High Surf,
2004,High Surf,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Heavy Rain,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Flood,
2004,Winter Storm,
2004,Heavy Snow,
2004,Winter Storm,
2004,Flood,
2004,Flood,
2004,High Wind,
2004,High Wind,
2004,Cold/Wind Chill,
2004,High Wind,
2004,Flood,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Flood,
2004,Flood,
2004,Flood,
2004,Flood,
2004,Ice Storm,
2004,Ice Storm,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Storm Surge/Tide,
2004,High Surf,
2004,High Surf,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Heavy Snow,
2004,Cold/Wind Chill,
2004,Blizzard,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Blizzard,
2004,Blizzard,
2004,Winter Storm,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,High Surf,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,High Surf,
2004,Heavy Rain,
2004,Heavy Rain,
2004,Flood,
2004,Winter Storm,
2004,Ice Storm,
2004,Flood,
2004,High Wind,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Winter Weather,
2004,High Wind,
2004,High Wind,
2004,Cold/Wind Chill,
2004,Flood,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,High Wind,
2004,Heavy Snow,
2004,Heavy Snow,
2004,High Wind,
2004,High Wind,
2004,Heavy Rain,
2004,Heavy Rain,
2004,Heavy Rain,
2004,Thunderstorm Wind,
2004,Heavy Snow,
2004,Heavy Snow,
2004,Flood,
2004,Lightning,
2004,Hurricane (Typhoon),
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Cold/Wind Chill,
2004,Winter Storm,
2004,Cold/Wind Chill,
2004,Avalanche,
2004,High Wind,
2004,High Wind,
2004,High Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Weather,
2004,Winter Storm,
2004,Winter Storm,
2004,Winter Storm,
2004,High Wind,
2004,Winter Storm,
2004,Winter Storm,
2004,High Surf,
2004,Waterspout,
2004,Funnel Cloud,
2004,Funnel Cloud,
2004,Heavy Rain,
2004,Heavy Rain,
2004,Heavy Rain,
2004,Heavy Rain,
2004,High Surf,
2004,Winter Storm,
2004,Winter Storm,
2004,Flood,
2004,Flood,
2004,Winter Weather,
2004,Cold/Wind Chill,
2004,Ice Storm,
2004,Cold/Wind Chill,
